from,to
Phobos (Marvel Comics),Zeus (Marvel Comics)
Phobos (Marvel Comics),Venus (Marvel Comics)
Phobos (Marvel Comics),Songbird (comics)
Phobos (Marvel Comics),Thor (Marvel Comics)
Phobos (Marvel Comics),Amatsu-Mikaboshi (comics)
Phobos (Marvel Comics),Hercules (Marvel Comics)
Phobos (Marvel Comics),Ares (Marvel Comics)
Warpath (comics),Berzerker (comics)
Warpath (comics),Corsair (comics)
Warpath (comics),Thunderbird (John Proudstar)
Warpath (comics),Stryfe
Warpath (comics),Feral (comics)
Warpath (comics),Quicksilver (comics)
Warpath (comics),Cable (comics)
Warpath (comics),Blackheart
Warpath (comics),Caliban (comics)
Warpath (comics),Namorita
Warpath (comics),Hope Summers (comics)
Warpath (comics),Shatterstar
Warpath (comics),Sunfire (comics)
Warpath (comics),Demon Bear
Warpath (comics),Skornn
Warpath (comics),War Machine
Warpath (comics),Reignfire
Warpath (comics),Tabitha Smith
Warpath (comics),Siryn
Warpath (comics),Cyclops (Marvel Comics)
Warpath (comics),Krakoa
Warpath (comics),Deadpool
Warpath (comics),Vanisher
Warpath (comics),Sentinel (comics)
Warpath (comics),High Evolutionary
Warpath (comics),Storm (Marvel Comics)
Warpath (comics),Beast (comics)
Warpath (comics),Emma Frost
Warpath (comics),Leech (comics)
Warpath (comics),Ghost Rider
Warpath (comics),Old Man Logan
Warpath (comics),Risque (comics)
Warpath (comics),Pyro (Marvel Comics)
Warpath (comics),Selene (comics)
Warpath (comics),Hepzibah (comics)
Warpath (comics),Jubilee (comics)
Warpath (comics),Professor X
Warpath (comics),Juggernaut (comics)
Warpath (comics),Exodus (comics)
Warpath (comics),Domino (comics)
Warpath (comics),Kitty Pryde
Warpath (comics),Wolfsbane (comics)
Super-Patriot (Marvel Comics),Scourge of the Underworld
Super-Patriot (Marvel Comics),U.S. Agent (comics)
Super-Patriot (Marvel Comics),Jasper Sitwell
Red Wolf (comics),Doctor Strange
Red Wolf (comics),Shooting Star (comics)
Red Wolf (comics),Two-Gun Kid
Red Wolf (comics),Kingpin (comics)
Red Wolf (comics),Libra (Marvel Comics)
Red Wolf (comics),Turk Barrett
Red Wolf (comics),Grizzly (comics)
Red Wolf (comics),Hercules (Marvel Comics)
Red Wolf (comics),Nighthawk (Marvel Comics)
Red Wolf (comics),Rawhide Kid
Red Wolf (comics),Rick Jones (comics)
Red Wolf (comics),Firebird (Marvel Comics)
Red Wolf (comics),Kid Colt
Red Wolf (comics),Texas Twister
Red Wolf (comics),Bengal (comics)
Red Wolf (comics),War Machine
Red Wolf (comics),Kang the Conqueror
Red Wolf (comics),Carol Danvers
Red Wolf (comics),Scarlet Spider
Red Wolf (comics),Nightshade (Marvel Comics)
Red Wolf (comics),Gabe Jones
Red Wolf (comics),Corruptor (comics)
Red Wolf (comics),Super-Skrull
Red Wolf (comics),Hydro-Man
Red Wolf (comics),Taurus (comics)
Red Wolf (comics),Ben Urich
Red Wolf (comics),Bullseye (comics)
Red Wolf (comics),Tigra
Red Wolf (comics),Kaine Parker
Red Wolf (comics),Bucky Barnes
Red Wolf (comics),Black Crow (comics)
Red Wolf (comics),Doctor Octopus
Lyja,Luke Cage
Lyja,Alicia Masters
Lyja,Thing (comics)
Lyja,Yondu
Lyja,Invisible Woman
Lyja,Devos the Devastator
Lyja,Valeria Richards
Lyja,Franklin Richards (Fantastic Four)
Lyja,Tinkerer (Marvel Comics)
Lyja,Katie Power
Lyja,Puppet Master (Marvel Comics)
Lyja,Storm (Marvel Comics)
Lyja,Julie Power
Lyja,Klaw (Marvel Comics)
Lyja,Maker (Reed Richards)
Lyja,Super-Skrull
Lyja,Spider-Man
Lyja,Beyonder
Lyja,Doctor Doom
Lyja,Spider-Girl (Mayday Parker)
Lyja,Molecule Man
Flag-Smasher,Rick Jones (comics)
Flag-Smasher,Flash Thompson
Flag-Smasher,Battlestar (comics)
Flag-Smasher,Erik Selvig
Flag-Smasher,Demolition Man (comics)
Flag-Smasher,Moon Knight
Flag-Smasher,Power Broker (character)
Flag-Smasher,Venom (Marvel Comics character)
Flag-Smasher,Ghost Rider
Flag-Smasher,Cable (comics)
Flag-Smasher,U.S. Agent (comics)
Flag-Smasher,Anya Corazon
Flag-Smasher,Spider-Man
Flag-Smasher,Deadpool
Flag-Smasher,Spider-Punk
Flag-Smasher,Red Skull
Flag-Smasher,Punisher
Typhon (comics),Pluto (Marvel Comics)
Typhon (comics),Zeus (Marvel Comics)
Typhon (comics),Beast (comics)
Typhon (comics),Thor (Marvel Comics)
Typhon (comics),Hermes (Marvel Comics)
Typhon (comics),Hercules (Marvel Comics)
Typhon (comics),Athena (Marvel Comics)
Typhon (comics),Amadeus Cho
Siena Blaze,Storm (Marvel Comics)
Siena Blaze,Professor X
Siena Blaze,Kitty Pryde
Siena Blaze,Cyclops (Marvel Comics)
Siena Blaze,Nightcrawler (comics)
Siena Blaze,Gambit (Marvel Comics)
Siena Blaze,Selene (comics)
Elsie-Dee,Donald Pierce
Elsie-Dee,Daredevil (Marvel Comics character)
Elsie-Dee,Magneto (Marvel Comics)
Elsie-Dee,Timebroker
Elsie-Dee,Mesmero
Elsie-Dee,Quicksilver (comics)
Elsie-Dee,Bonebreaker
Elsie-Dee,Misty Knight
Elsie-Dee,Arno Stark
Wundarr the Aquarian,Doctor Strange
Wundarr the Aquarian,Tiger Shark (Marvel Comics)
Wundarr the Aquarian,Superman
Wundarr the Aquarian,Quasar (comics)
Wundarr the Aquarian,Jennifer Kale
Wundarr the Aquarian,Man-Thing
Wundarr the Aquarian,Mister Fantastic
Wundarr the Aquarian,Howard the Duck
Wundarr the Aquarian,Thing (comics)
Wundarr the Aquarian,Siege (John Kelly)
Wundarr the Aquarian,Death's Head
Wundarr the Aquarian,Nth Man
Wundarr the Aquarian,Namorita
Tracer (Marvel Comics),Spider-Man
Gorr the God Butcher,Eternity (comics)
Gorr the God Butcher,Galactus
Gorr the God Butcher,Uatu
Gorr the God Butcher,Thor (Marvel Comics)
Gorr the God Butcher,Beta Ray Bill
Brett Mahoney,Storm (Marvel Comics)
Brett Mahoney,Blake Tower
Brett Mahoney,Daredevil (Marvel Comics character)
Brett Mahoney,Uatu
Brett Mahoney,Mister Fantastic
Brett Mahoney,Ben Urich
Brett Mahoney,Old Man Logan
Brett Mahoney,Purple Man
Brett Mahoney,Punisher
Darkstar (Marvel Comics),Dmitri Bukharin
Darkstar (Marvel Comics),Omega Red
Darkstar (Marvel Comics),Rom (comics)
Darkstar (Marvel Comics),Ursa Major (comics)
Darkstar (Marvel Comics),Griffin (Marvel Comics)
Darkstar (Marvel Comics),Fantomex
Darkstar (Marvel Comics),Jack of Hearts (Marvel Comics)
Darkstar (Marvel Comics),Magneto (Marvel Comics)
Darkstar (Marvel Comics),Titanium Man
Darkstar (Marvel Comics),Red Guardian
Darkstar (Marvel Comics),Crimson Dynamo
Darkstar (Marvel Comics),Colossus (comics)
Darkstar (Marvel Comics),Hyperion (comics)
Darkstar (Marvel Comics),Selene (comics)
Scorpion (Marvel Comics),Electro (Marvel Comics)
Scorpion (Marvel Comics),Lady Octopus
Scorpion (Marvel Comics),Eric O'Grady#Black Ant
Scorpion (Marvel Comics),Lizard (comics)
Scorpion (Marvel Comics),Daredevil (Marvel Comics character)
Scorpion (Marvel Comics),Phantom Rider
Scorpion (Marvel Comics),Venom (Marvel Comics character)
Scorpion (Marvel Comics),Silk (comics)
Scorpion (Marvel Comics),Spider-Man 2099
Scorpion (Marvel Comics),Rawhide Kid
Scorpion (Marvel Comics),Jack O'Lantern (Marvel Comics)
Scorpion (Marvel Comics),Kid Colt
Scorpion (Marvel Comics),Kraven the Hunter
Scorpion (Marvel Comics),Silvermane
Scorpion (Marvel Comics),Black Cat (Marvel Comics)
Scorpion (Marvel Comics),Taskmaster (comics)
Scorpion (Marvel Comics),Punisher
Scorpion (Marvel Comics),J. Jonah Jameson
Scorpion (Marvel Comics),Iron Fist (comics)
Scorpion (Marvel Comics),Spider-Man
Scorpion (Marvel Comics),Boomerang (comics)
Scorpion (Marvel Comics),Prowler (Marvel Comics)
Scorpion (Marvel Comics),Deathlok
Scorpion (Marvel Comics),Farley Stillwell
Scorpion (Marvel Comics),Alistair Smythe
Scorpion (Marvel Comics),Arcade (Marvel Comics)
Scorpion (Marvel Comics),Kaine Parker
Scorpion (Marvel Comics),Steel Serpent
Scorpion (Marvel Comics),Scorpio (Marvel Comics)
Scorpion (Marvel Comics),Doctor Octopus
Jackhammer (comics),Battlestar (comics)
Jackhammer (comics),Daredevil (Marvel Comics character)
Jackhammer (comics),Silvermane
Jackhammer (comics),Asp (comics)
Jackhammer (comics),Anaconda (comics)
Jackhammer (comics),Doctor Octopus
Jackhammer (comics),Union Jack (comics)
Jackhammer (comics),Power Broker (character)
Jackhammer (comics),Karl Malus
Jackhammer (comics),Poundcakes
Garokk,High Evolutionary
Garokk,Destiny (Irene Adler)
Garokk,Storm (Marvel Comics)
Garokk,Mikhail Rasputin
Garokk,Mystique (comics)
Garokk,Magneto (Marvel Comics)
Garokk,Cyclops (Marvel Comics)
Garokk,Sauron (comics)
Strobe (comics),Tempo (comics)
Strobe (comics),Slab (comics)
Strobe (comics),Rusty Collins
Strobe (comics),Sunfire (comics)
Strobe (comics),Mutant Liberation Front
Strobe (comics),Cable (comics)
Strobe (comics),Apocalypse (comics)
Strobe (comics),Skids (comics)
Chondu the Mystic,Doctor Strange
Chondu the Mystic,Spider-Man
Chondu the Mystic,Valkyrie (Marvel Comics)
Chondu the Mystic,Mysterio
Chondu the Mystic,Nighthawk (Marvel Comics)
Chondu the Mystic,She-Hulk
Taserface,Ronan the Accuser
Taserface,Yondu
Taserface,Wonder Man
Taserface,Clayface
Monica Rappaccini,Doctor Strange
Monica Rappaccini,Deadpool
Monica Rappaccini,Kamala Khan
Monica Rappaccini,Baron Mordo
Monica Rappaccini,Captain Universe
Monica Rappaccini,Scientist Supreme
Monica Rappaccini,Mockingbird (Marvel Comics)
Monica Rappaccini,MODOK
Monica Rappaccini,Death's Head
Monica Rappaccini,Super-Adaptoid
Monica Rappaccini,Groot
Monica Rappaccini,Spider-Man
Monica Rappaccini,Carol Danvers
Monica Rappaccini,Chameleon (comics)
Monica Rappaccini,Amadeus Cho
Monica Rappaccini,Bruce Banner
Copperhead (Marvel Comics),Spider-Man
Copperhead (Marvel Comics),Nomad (comics)
Copperhead (Marvel Comics),Demolition Man (comics)
Copperhead (Marvel Comics),Daredevil (Marvel Comics character)
Copperhead (Marvel Comics),Black Racer (Marvel Comics)
Copperhead (Marvel Comics),Cobra (Marvel Comics)
Copperhead (Marvel Comics),Viper (Marvel Comics)
Copperhead (Marvel Comics),Puff Adder (comics)
Copperhead (Marvel Comics),Sidewinder (comics)
Copperhead (Marvel Comics),Fer-de-Lance (comics)
Maggott,Jimmy Hudson
Maggott,Shadow King
Maggott,Beast (comics)
Maggott,Betsy Braddock
Maggott,Professor X
Maggott,William Stryker
Maggott,Magneto (Marvel Comics)
Maggott,Blink (comics)
Maggott,Nate Grey
Maggott,N'Garai
Maggott,Kitty Pryde
Maggott,Apocalypse (comics)
Maggott,Krakoa
Maggott,Cecilia Reyes
Maggott,Mister Sinister
Maggott,Marrow (comics)
Maggott,Selene (comics)
Pride (comics)#The Stein family,Doctor Strange
Pride (comics)#The Stein family,Dormammu
Pride (comics)#The Stein family,Nico Minoru
Pride (comics)#The Stein family,Cloak and Dagger (comics)
Pride (comics)#The Stein family,Cockroach Hamilton
Pride (comics)#The Stein family,Daredevil (Marvel Comics character)
Pride (comics)#The Stein family,Kingpin (comics)
Pride (comics)#The Stein family,Molly Hayes
Pride (comics)#The Stein family,Daken
Pride (comics)#The Stein family,Invisible Woman
Pride (comics)#The Stein family,Alex Wilder
Pride (comics)#The Stein family,Old Lace (comics)
Pride (comics)#The Stein family,Chase Stein
Pride (comics)#The Stein family,Cyclops (Marvel Comics)
Pride (comics)#The Stein family,Carol Danvers
Pride (comics)#The Stein family,Iron Monger
Pride (comics)#The Stein family,Tombstone (comics)
Pride (comics)#The Stein family,Emma Frost
Pride (comics)#The Stein family,Ancient One
Pride (comics)#The Stein family,Chamber (comics)
Pride (comics)#The Stein family,Val Rhymin
Pride (comics)#The Stein family,Spider-Man
Pride (comics)#The Stein family,Gibborim (comics)
Pride (comics)#The Stein family,Gertrude Yorkes
Pride (comics)#The Stein family,Mr. Fish
Pride (comics)#The Stein family,Karolina Dean
Southpaw (comics),She-Hulk
Southpaw (comics),Ironclad (comics)
Southpaw (comics),Champion of the Universe
Southpaw (comics),Living Tribunal
Southpaw (comics),Gauntlet (comics)
Southpaw (comics),Mad Thinker
Southpaw (comics),Henry Pym
Southpaw (comics),Namorita
Slyde,Stacy X
Slyde,Baron Zemo
Slyde,Frog-Man
Slyde,Stilt-Man
Slyde,Underworld (comics)
Slyde,Trapster
Slyde,Spider-Man
Slyde,Hammerhead (comics)
Slyde,Doctor Octopus
Henrietta Hunter,X-Statix
Proteus (Marvel Comics),Destiny (Irene Adler)
Proteus (Marvel Comics),Trance (comics)
Proteus (Marvel Comics),Siena Blaze
Proteus (Marvel Comics),Justice (New Universe)
Proteus (Marvel Comics),Colossus (comics)
Proteus (Marvel Comics),Jamie Madrox
Proteus (Marvel Comics),Hope Summers (comics)
Proteus (Marvel Comics),Fantomex
Proteus (Marvel Comics),Magneto (Marvel Comics)
Proteus (Marvel Comics),Hulk 2099
Proteus (Marvel Comics),Husk (comics)
Proteus (Marvel Comics),Kevin Sydney
Proteus (Marvel Comics),Cyclops (Marvel Comics)
Proteus (Marvel Comics),Nightcrawler (comics)
Proteus (Marvel Comics),Angel Salvadore
Proteus (Marvel Comics),Krakoa
Proteus (Marvel Comics),Gamesmaster (comics)
Proteus (Marvel Comics),Deathbird
Proteus (Marvel Comics),Sentinel (comics)
Proteus (Marvel Comics),Sabretooth (comics)
Proteus (Marvel Comics),Storm (Marvel Comics)
Proteus (Marvel Comics),Shadow King
Proteus (Marvel Comics),Old Man Logan
Proteus (Marvel Comics),Jean Grey
Proteus (Marvel Comics),Blink (comics)
Proteus (Marvel Comics),Selene (comics)
Proteus (Marvel Comics),Longshot (Marvel Comics)
Proteus (Marvel Comics),Elixir (comics)
Proteus (Marvel Comics),Blindfold (comics)
Normie Osborn,Black Tarantula
Normie Osborn,Electro (Marvel Comics)
Normie Osborn,Harry Osborn#Kindred
Normie Osborn,Molten Man
Normie Osborn,Kaine Parker
Normie Osborn,Dusk (comics)
Normie Osborn,Maker (Reed Richards)
Normie Osborn,War Machine
Normie Osborn,Mister Sinister
Normie Osborn,Venom (Marvel Comics character)
Normie Osborn,Hobgoblin (comics)
Normie Osborn,Spider-Girl (Mayday Parker)
Normie Osborn,Knull (comics)
Normie Osborn,Spider-Man
Normie Osborn,Carnage (character)
Normie Osborn,Chameleon (comics)
Normie Osborn,Phil Urich
Normie Osborn,Liz Allan
Flashback (comics),Guardian (Marvel Comics)
Flashback (comics),Sasquatch (comics)
Flashback (comics),Jerry Jaxon
Flashback (comics),Apocalypse (comics)
Spider-Girl (Mayday Parker),Uncle Ben
Spider-Girl (Mayday Parker),Mad Dog Rassitano
Spider-Girl (Mayday Parker),Felicity Hardy
Spider-Girl (Mayday Parker),Daredevil (Marvel Comics character)
Spider-Girl (Mayday Parker),Hobgoblin (comics)
Spider-Girl (Mayday Parker),Darkdevil
Spider-Girl (Mayday Parker),Anya Corazon
Spider-Girl (Mayday Parker),Spider-Man 2099
Spider-Girl (Mayday Parker),H.E.R.B.I.E.
Spider-Girl (Mayday Parker),J2 (comics)
Spider-Girl (Mayday Parker),Black Tarantula
Spider-Girl (Mayday Parker),Man Mountain Marko
Spider-Girl (Mayday Parker),Kaine Parker
Spider-Girl (Mayday Parker),Kang the Conqueror
Spider-Girl (Mayday Parker),Black Cat (Marvel Comics)
Spider-Girl (Mayday Parker),Scarlet Spider
Spider-Girl (Mayday Parker),Phil Urich
Spider-Girl (Mayday Parker),Sabretooth (comics)
Spider-Girl (Mayday Parker),Roderick Kingsley
Spider-Girl (Mayday Parker),J. Jonah Jameson
Spider-Girl (Mayday Parker),Spidercide
Spider-Girl (Mayday Parker),Mister Fantastic
Spider-Girl (Mayday Parker),Spider-Ham
Spider-Girl (Mayday Parker),Sandman (Marvel Comics)
Spider-Girl (Mayday Parker),Spider-Man
Spider-Girl (Mayday Parker),Morlun
Spider-Girl (Mayday Parker),Flash Thompson
Spider-Girl (Mayday Parker),Buzz (Marvel Comics)
Spider-Girl (Mayday Parker),Captain Britain Corps#Known current members
Spider-Girl (Mayday Parker),Spider-Woman
Spider-Girl (Mayday Parker),Juggernaut (comics)
Spider-Girl (Mayday Parker),Normie Osborn
Spider-Girl (Mayday Parker),Mephisto (comics)
Spider-Girl (Mayday Parker),Venom (Marvel Comics character)
Spider-Girl (Mayday Parker),Ben Reilly
Spider-Girl (Mayday Parker),Benjamin Richard Parker
Frederick Foswell,Rhino (comics)
Frederick Foswell,Roderick Kingsley
Frederick Foswell,Crime Master
Frederick Foswell,Big Man (comics)
Frederick Foswell,Tombstone (comics)
Frederick Foswell,J. Jonah Jameson
Frederick Foswell,Kingpin (comics)
Frederick Foswell,Silvermane
Frederick Foswell,Jackal (Marvel Comics)
Frederick Foswell,Sons of the Tiger
Frederick Foswell,Ned Leeds
Frederick Foswell,Sandman (Marvel Comics)
Frederick Foswell,Spider-Man
Frederick Foswell,Doctor Octopus
Namora,Fin (comics)
Namora,Dormammu
Namora,Llyra
Namora,Namor the Sub-Mariner
Namora,Marvel Boy (Robert Grayson)
Namora,Jimmy Woo
Namora,Yellow Claw (comics)
Namora,Venus (Marvel Comics)
Namora,Angel (Thomas Halloway)
Namora,Kevin Sydney
Namora,Hercules (Marvel Comics)
Namora,Wasp (comics)
Namora,Hyperion (comics)
Namora,She-Hulk
Namora,Amadeus Cho
Namora,Namorita
Blindfold (comics),Destiny (Irene Adler)
Blindfold (comics),Cipher (comics)
Blindfold (comics),Nate Grey
Blindfold (comics),Colossus (comics)
Blindfold (comics),Lady Deathstrike
Blindfold (comics),Rockslide (comics)
Blindfold (comics),Cyclops (Marvel Comics)
Blindfold (comics),Rogue (comics)
Blindfold (comics),Cannonball (comics)
Blindfold (comics),Marauders (comics)
Blindfold (comics),Amanda Sefton
Blindfold (comics),Beast (comics)
Blindfold (comics),Magik (comics)
Blindfold (comics),Jean Grey
Blindfold (comics),Forge (comics)
Blindfold (comics),Donald Pierce
Blindfold (comics),Ord (comics)
Blindfold (comics),Armor (comics)
Blindfold (comics),Exodus (comics)
Blindfold (comics),Elixir (comics)
Blindfold (comics),Stepford Cuckoos
Blindfold (comics),Scalphunter (Marvel Comics)
Blindfold (comics),Cassandra Nova
Agent (comics),Luke Cage
Agent (comics),Dakota North (comics)
Agent (comics),Tinkerer (Marvel Comics)
Agent (comics),Carol Danvers
Agent (comics),Nitro (comics)
Master Izo,Black Tarantula
Master Izo,Daredevil (Marvel Comics character)
Master Izo,Kingpin (comics)
Master Izo,Stick (comics)
Master Izo,Lady Bullseye
Master Izo,Iron Fist (comics)
Ringo Kid,Kid Colt
Ringo Kid,Rawhide Kid
Ringo Kid,Two-Gun Kid
Libra (Marvel Comics),Rick Jones (comics)
Libra (Marvel Comics),Immortus
Libra (Marvel Comics),Swordsman (comics)
Libra (Marvel Comics),Mantis (Marvel Comics)
Libra (Marvel Comics),Quicksilver (comics)
Finesse (character),Absorbing Man
Finesse (character),Reptil
Finesse (character),Magneto (Marvel Comics)
Finesse (character),Quicksilver (comics)
Finesse (character),Arcade (Marvel Comics)
Finesse (character),Taskmaster (comics)
Abomination (character),Doctor Strange
Abomination (character),Captain Marvel (Marvel Comics)
Abomination (character),Red Hulk
Abomination (character),Gargantua (comics)
Abomination (character),Absorbing Man
Abomination (character),Doc Samson
Abomination (character),Betty Ross
Abomination (character),Nate Grey
Abomination (character),Hercules (Marvel Comics)
Abomination (character),Phil Coulson
Abomination (character),Zeus (Marvel Comics)
Abomination (character),Superman
Abomination (character),Ghaur
Abomination (character),Jim Wilson (comics)
Abomination (character),Glenn Talbot
Abomination (character),Sentinel (comics)
Abomination (character),Silver Surfer
Abomination (character),Kamala Khan
Abomination (character),Marlo Chandler
Abomination (character),Death (Marvel Comics)
Abomination (character),Sandman (Marvel Comics)
Abomination (character),Nightmare (Marvel Comics)
Abomination (character),Spider-Man
Abomination (character),She-Hulk
Abomination (character),Beyonder
Abomination (character),Pluto (Marvel Comics)
Abomination (character),Galactus
Abomination (character),Wonder Man
Abomination (character),MODOK
Abomination (character),Thor (Marvel Comics)
Abomination (character),Doctor Doom
Abomination (character),Teen Abomination
Zeus (Marvel Comics),Rick Jones (comics)
Zeus (Marvel Comics),Pluto (Marvel Comics)
Zeus (Marvel Comics),Galactus
Zeus (Marvel Comics),Enchantress (Marvel Comics)
Zeus (Marvel Comics),Typhon (comics)
Zeus (Marvel Comics),Thor (Marvel Comics)
Zeus (Marvel Comics),Betty Ross
Zeus (Marvel Comics),Quicksilver (comics)
Zeus (Marvel Comics),Odin (comics)
Zeus (Marvel Comics),Amatsu-Mikaboshi (comics)
Zeus (Marvel Comics),Cyclops (Marvel Comics)
Zeus (Marvel Comics),Hercules (Marvel Comics)
Zeus (Marvel Comics),Athena (Marvel Comics)
Zeus (Marvel Comics),Ares (Marvel Comics)
Zeus (Marvel Comics),Amadeus Cho
